AppID,Name,Published Date,Original Price,Discount Price,Discount %,Reviews Count,Reviews Positive,Review Label,Search Filter,Number Of Players,Controller Support,OS
3283220,Stellaris: Infernals Species Pack,"25 Nov, 2025",Rp 146 999,Rp 146 999,N/A,218,41%,Mixed,topsellers,"Cross-Platform Multiplayer, Multi-player, Singleplayer",N/A,"SteamOS + Linux, Windows, macOS"
516750,My Summer Car,"8 Jan, 2025",Rp 72 499,Rp 72 499,N/A,36366,93%,Very Positive,"mostplayed, newreleases, topsellers, upcomingreleases",Singleplayer,Xbox Controller Support,Windows
2973290,Le Mans Ultimate - 2024 Pack 1,"23 Jul, 2024",Rp 114 999,Rp 74 749,-35%,52,88%,Very Positive,topsellers,"Multi-player, Online PvP, PvP, Singleplayer",Xbox Controller Support,Windows
1766060,HumanitZ,"6 Feb, 2026",Rp 165 999,Rp 165 999,N/A,4048,73%,Mostly Positive,"mostplayed, newreleases, topsellers, upcomingreleases","Co-op, Multi-player, Online Co-op, Online PvP, PvP, Singleplayer",Xbox Controller Support,Windows
2231380,Tom Clancy's Ghost Recon® Breakpoint,"23 Jan, 2023",Rp 619 000,Rp 619 000,N/A,18493,72%,Mostly Positive,"mostplayed, newreleases, topsellers, upcomingreleases","Co-op, Multi-player, Online Co-op, Singleplayer","DualShock Controller Support, Dualsense Controller Support, Xbox Controller Support",Windows
2947440,SILENT HILL f,"24 Sep, 2025",Rp 1 004 000,Rp 1 004 000,N/A,8660,81%,Very Positive,"mostplayed, newreleases, topsellers, upcomingreleases",Singleplayer,"DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Gamepad Preferred, Xbox Controller Support",Windows
2713000,Resonance: A Plague Tale Legacy,"27 Aug, 2026",Rp 500 000,Rp 500 000,N/A,N/A,N/A,N/A,topsellers,N/A,"DualShock Controller Support, Dualsense Controller Support, Full Controller Support",N/A
333640,Caves of Qud,"5 Dec, 2024",Rp 254 999,Rp 203 999,-20%,10492,95%,Overwhelmingly Positive,topsellers,Singleplayer,"DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Xbox Controller Support","SteamOS + Linux, Windows, macOS"
2096610,Crysis 3 Remastered,"17 Nov, 2022",Rp 161 999,Rp 72 899,-55%,1472,88%,Very Positive,topsellers,Singleplayer,"Full Controller Support, Xbox Controller Support",Windows
2477660,Age of Empires III: Definitive Edition (Base Game),"2 Aug, 2023",Rp 108 999,Rp 27 249,-75%,356,81%,Very Positive,topsellers,"Cross-Platform Multiplayer, LAN PvP, Multi-player, Online PvP, PvP, Singleplayer",N/A,Windows
1332010,Stray,"19 Jul, 2022",Rp 239 000,Rp 239 000,N/A,78004,97%,Overwhelmingly Positive,"mostplayed, newreleases, topsellers, upcomingreleases",Singleplayer,"Full Controller Support, Xbox Controller Support","Windows, macOS"
